particle,fluid,phi,T,size,k_ratio
Fe,H2O,0.02,20,5e-08,1.07507829870828
Fe,H2O,0.025,20,5e-08,1.09443873166079
Fe,H2O,0.03,20,5e-08,1.11404449247443
Fe,H2O,0.035,20,5e-08,1.13390027393031
Fe,H2O,0.04,20,5e-08,1.15401088926612
Fe,H2O,0.045,20,5e-08,1.17438127606598
Fe,H2O,0.05,20,5e-08,1.19501650030207
TiO2,H2O,0.005,20,5e-08,1.01470484618855
TiO2,H2O,0.01,20,5e-08,1.02955455745093
TiO2,H2O,0.015,20,5e-08,1.04455128509554
TiO2,H2O,0.02,20,5e-08,1.05969722323982
TiO2,H2O,0.025,20,5e-08,1.07499460988043
TiO2,H2O,0.03,20,5e-08,1.09044572799561
TiO2,H2O,0.035,20,5e-08,1.10605290668103
TiO2,H2O,0.04,20,5e-08,1.12181852232021
TiO2,H2O,0.045,20,5e-08,1.13774499979071
TiO2,H2O,0.05,20,5e-08,1.15383481370753
MgO,H2O,0.005,20,5e-08,1.01807672970549
MgO,H2O,0.01,20,5e-08,1.03637262545063
MgO,H2O,0.015,20,5e-08,1.0548916973674
MgO,H2O,0.02,20,5e-08,1.07363805402053
MgO,H2O,0.025,20,5e-08,1.09261590544636
MgO,H2O,0.03,20,5e-08,1.1118295663049
MgO,H2O,0.035,20,5e-08,1.13128345915015
MgO,H2O,0.04,20,5e-08,1.15098211782388
MgO,H2O,0.045,20,5e-08,1.17093019097827
MgO,H2O,0.05,20,5e-08,1.19113244573332
SiC,H2O,0.005,20,5e-08,1.01890734450718
SiC,H2O,0.01,20,5e-08,1.03805452569012
SiC,H2O,0.015,20,5e-08,1.05744613611225
SiC,H2O,0.02,20,5e-08,1.07708688634584
SiC,H2O,0.025,20,5e-08,1.09698160878681
SiC,H2O,0.03,20,5e-08,1.11713526161867
SiC,H2O,0.035,20,5e-08,1.13755293293208
SiC,H2O,0.04,20,5e-08,1.1582398450075
SiC,H2O,0.045,20,5e-08,1.1792013587683
SiC,H2O,0.05,20,5e-08,1.20044297841244
SiO2,H2O,0.005,20,5e-08,1.00530182285789
SiO2,H2O,0.01,20,5e-08,1.01062241844275
SiO2,H2O,0.015,20,5e-08,1.01596188663729
SiO2,H2O,0.02,20,5e-08,1.02132032803407
SiO2,H2O,0.025,20,5e-08,1.0266978439418
SiO2,H2O,0.03,20,5e-08,1.03209453639176
SiO2,H2O,0.035,20,5e-08,1.0375105081442
SiO2,H2O,0.04,20,5e-08,1.04294586269492
SiO2,H2O,0.045,20,5e-08,1.0484007042818
SiO2,H2O,0.05,20,5e-08,1.05387513789153
ZnO,H2O,0.005,20,5e-08,1.01602738068458
ZnO,H2O,0.01,20,5e-08,1.03222693247418
ZnO,H2O,0.015,20,5e-08,1.04860144462361
ZnO,H2O,0.02,20,5e-08,1.0651537669645
ZnO,H2O,0.025,20,5e-08,1.08188681155877
ZnO,H2O,0.03,20,5e-08,1.09880355440659
ZnO,H2O,0.035,20,5e-08,1.11590703721087
ZnO,H2O,0.04,20,5e-08,1.13320036920049
ZnO,H2O,0.045,20,5e-08,1.15068672901464
ZnO,H2O,0.05,20,5e-08,1.1683693666506
Al2O3,H2O,0.005,20,6e-08,1.0172276445561
Al2O3,H2O,0.01,20,6e-08,1.03465429305993
Al2O3,H2O,0.015,20,6e-08,1.05228341371339
Al2O3,H2O,0.02,20,6e-08,1.07011855578017
Al2O3,H2O,0.025,20,6e-08,1.08816335196793
Al2O3,H2O,0.03,20,6e-08,1.1064215208951
Al2O3,H2O,0.035,20,6e-08,1.12489686964554
Al2O3,H2O,0.04,20,6e-08,1.14359329641511
Al2O3,H2O,0.045,20,6e-08,1.16251479325365
Al2O3,H2O,0.05,20,6e-08,1.18166544890666
CuO,H2O,0.005,20,6e-08,1.01708492368872
CuO,H2O,0.01,20,6e-08,1.03436555835813
CuO,H2O,0.015,20,6e-08,1.05184528623883
CuO,H2O,0.02,20,6e-08,1.06952756794752
CuO,H2O,0.025,20,6e-08,1.08741594477105
CuO,H2O,0.03,20,6e-08,1.10551404103082
CuO,H2O,0.035,20,6e-08,1.12382556653082
CuO,H2O,0.04,20,6e-08,1.14235431909283
CuO,H2O,0.045,20,6e-08,1.16110418718233
CuO,H2O,0.05,20,6e-08,1.18007915262898
Fe,H2O,0.005,20,6e-08,1.01777082345225
Fe,H2O,0.01,20,6e-08,1.0357534362389
Fe,H2O,0.015,20,6e-08,1.05395164715444
Fe,H2O,0.02,20,6e-08,1.07236935687335
Fe,H2O,0.025,20,6e-08,1.09101056073746
Fe,H2O,0.03,20,6e-08,1.10987935164539
Fe,H2O,0.035,20,6e-08,1.12897992304851
Fe,H2O,0.04,20,6e-08,1.14831657205786
Fe,H2O,0.045,20,6e-08,1.16789370266716
Fe,H2O,0.05,20,6e-08,1.18771582909671
TiO2,H2O,0.005,20,6e-08,1.01426476659887
TiO2,H2O,0.01,20,6e-08,1.02866583702257
TiO2,H2O,0.015,20,6e-08,1.04320517428127
TiO2,H2O,0.02,20,6e-08,1.05788477926128
TiO2,H2O,0.025,20,6e-08,1.07270669164298
TiO2,H2O,0.03,20,6e-08,1.08767299084563
TiO2,H2O,0.035,20,6e-08,1.10278579699987
TiO2,H2O,0.04,20,6e-08,1.11804727194894
TiO2,H2O,0.045,20,6e-08,1.13345962027961
TiO2,H2O,0.05,20,6e-08,1.14902509038382
MgO,H2O,0.005,20,6e-08,1.01744799926159
MgO,H2O,0.01,20,6e-08,1.03510014093422
MgO,H2O,0.015,20,6e-08,1.05296002881387
MgO,H2O,0.02,20,6e-08,1.07103135202403
MgO,H2O,0.025,20,6e-08,1.08931788755612
MgO,H2O,0.03,20,6e-08,1.10782350290122
MgO,H2O,0.035,20,6e-08,1.12655215877692
MgO,H2O,0.04,20,6e-08,1.14550791195348
MgO,H2O,0.045,20,6e-08,1.16469491818325
MgO,H2O,0.05,20,6e-08,1.18411743523816
SiC,H2O,0.005,20,6e-08,1.01821718078555
SiC,H2O,0.01,20,6e-08,1.03665695704226
SiC,H2O,0.015,20,6e-08,1.0553234336854
SiC,H2O,0.02,20,6e-08,1.07422081718694
SiC,H2O,0.025,20,6e-08,1.09335341873583
SiC,H2O,0.03,20,6e-08,1.11272565751689
SiC,H2O,0.035,20,6e-08,1.13234206411383
SiC,H2O,0.04,20,6e-08,1.15220728404168
SiC,H2O,0.045,20,6e-08,1.17232608141446
SiC,H2O,0.05,20,6e-08,1.1927033427543
SiO2,H2O,0.005,20,6e-08,1.00518252078346
SiO2,H2O,0.01,20,6e-08,1.01038297823376
SiO2,H2O,0.015,20,6e-08,1.01560146563031
SiO2,H2O,0.02,20,6e-08,1.02083807690047
SiO2,H2O,0.025,20,6e-08,1.02609290662516
SiO2,H2O,0.03,20,6e-08,1.03136605004453
SiO2,H2O,0.035,20,6e-08,1.03665760306374
SiO2,H2O,0.04,20,6e-08,1.04196766225878
SiO2,H2O,0.045,20,6e-08,1.04729632488232
SiO2,H2O,0.05,20,6e-08,1.05264368886968
ZnO,H2O,0.005,20,6e-08,1.01552086378113
ZnO,H2O,0.01,20,6e-08,1.03120316089888
ZnO,H2O,0.015,20,6e-08,1.04704942313503
ZnO,H2O,0.02,20,6e-08,1.06306223549131
ZnO,H2O,0.025,20,6e-08,1.07924423759519
ZnO,H2O,0.03,20,6e-08,1.09559812515043
ZnO,H2O,0.035,20,6e-08,1.1121266514342
ZnO,H2O,0.04,20,6e-08,1.1288326288423
ZnO,H2O,0.045,20,6e-08,1.14571893048452
ZnO,H2O,0.05,20,6e-08,1.16278849183187
Al2O3,H2O,0.005,20,7e-08,1.01679876836014
Al2O3,H2O,0.01,20,7e-08,1.03378672852902
Al2O3,H2O,0.015,20,7e-08,1.05096709469224
Al2O3,H2O,0.02,20,7e-08,1.06834315425795
Al2O3,H2O,0.025,20,7e-08,1.08591826995385
Al2O3,H2O,0.03,20,7e-08,1.10369588199679
Al2O3,H2O,0.035,20,7e-08,1.12167951033767
Al2O3,H2O,0.04,20,7e-08,1.13987275698493
Al2O3,H2O,0.045,20,7e-08,1.15827930840975
Al2O3,H2O,0.05,20,7e-08,1.17690293803632
CuO,H2O,0.005,20,7e-08,1.0166629152756
CuO,H2O,0.01,20,7e-08,1.03351196623591
CuO,H2O,0.015,20,7e-08,1.05055028928516
CuO,H2O,0.02,20,7e-08,1.06778109169054
CuO,H2O,0.025,20,7e-08,1.08520765359493
CuO,H2O,0.03,20,7e-08,1.10283333009852
CuO,H2O,0.035,20,7e-08,1.12066155341229
CuO,H2O,0.04,20,7e-08,1.13869583508611
CuO,H2O,0.045,20,7e-08,1.15693976831457
CuO,H2O,0.05,20,7e-08,1.17539703032367
Fe,H2O,0.005,20,7e-08,1.01731420647745
Fe,H2O,0.01,20,7e-08,1.03482942758849
Fe,H2O,0.015,20,7e-08,1.05254918438479
