particle,fluid,phi,T,size,k_ratio
CuO,H2O,0.025,40,8.00E-08,1.187873683
Al2O3,60:40 EG/W,0.01,30,1.50E-07,1.187902441
CuO,40:60 EG/W,0.02,30,5.00E-08,1.187988252
CuO,60:40 EG/W,0.025,35,1.25E-07,1.188061784
CuO,EG,0.02,40,1.50E-07,1.188076528
CuO,EG,0.03,30,8.00E-08,1.188128781
CuO,H2O,0.04,35,9.00E-08,1.188249383
CuO,40:60 EG/W,0.025,35,1.00E-07,1.18833161
CuO,40:60 EG/W,0.03,30,7.00E-08,1.18833205
CuO,40:60 EG/W,0.01,40,8.00E-08,1.188360637
CuO,40:60 EG/W,0.025,40,1.50E-07,1.188821701
CuO,60:40 EG/W,0.015,30,5.00E-08,1.188832818
CuO,40:60 EG/W,0.01,50,1.50E-07,1.188910519
CuO,40:60 EG/W,0.02,40,1.25E-07,1.189100675
CuO,H2O,0.05,30,9.00E-08,1.189172024
CuO,EG,0.01,35,6.00E-08,1.18921944
CuO,40:60 EG/W,0.04,30,1.00E-07,1.189251641
CuO,60:40 EG/W,0.04,30,1.25E-07,1.18940972
CuO,H2O,0.015,50,1.00E-07,1.189583832
CuO,40:60 EG/W,0.015,30,4.00E-08,1.189847205
CuO,60:40 EG/W,0.02,30,6.00E-08,1.189856121
CuO,H2O,0.05,35,1.50E-07,1.189986172
CuO,60:40 EG/W,0.035,30,1.00E-07,1.190112345
CuO,H2O,0.035,45,1.50E-07,1.190141326
CuO,40:60 EG/W,0.045,30,1.25E-07,1.190161282
CuO,EG,0.045,30,1.50E-07,1.190191624
CuO,40:60 EG/W,0.035,30,8.00E-08,1.190202703
CuO,H2O,0.04,30,5.00E-08,1.190277038
CuO,H2O,0.03,35,6.00E-08,1.190281487
CuO,H2O,0.03,40,9.00E-08,1.190366452
CuO,60:40 EG/W,0.015,40,1.25E-07,1.190427368
CuO,H2O,0.035,35,7.00E-08,1.190706287
CuO,H2O,0.02,45,9.00E-08,1.190745285
CuO,40:60 EG/W,0.015,40,1.00E-07,1.190773308
CuO,H2O,0.03,45,1.25E-07,1.190821913
CuO,60:40 EG/W,0.02,35,1.00E-07,1.190868564
CuO,60:40 EG/W,0.025,30,7.00E-08,1.190947635
CuO,EG,0.035,30,9.00E-08,1.191144007
CuO,H2O,0.04,40,1.25E-07,1.191312133
CuO,40:60 EG/W,0.02,35,8.00E-08,1.191354421
CuO,H2O,0.045,30,6.00E-08,1.19139785
CuO,H2O,0.025,30,3.00E-08,1.191411664
CuO,EG,0.01,40,9.00E-08,1.191543981
CuO,60:40 EG/W,0.02,40,1.50E-07,1.191598599
CuO,H2O,0.05,30,8.00E-08,1.191611618
CuO,60:40 EG/W,0.045,30,1.50E-07,1.191665787
CuO,H2O,0.025,35,5.00E-08,1.191696465
CuO,H2O,0.045,35,1.00E-07,1.192234974
CuO,H2O,0.035,30,4.00E-08,1.192260709
CuO,H2O,0.04,35,8.00E-08,1.192516221
CuO,60:40 EG/W,0.03,30,8.00E-08,1.192524609
CuO,H2O,0.045,40,1.50E-07,1.192623732
CuO,60:40 EG/W,0.015,35,8.00E-08,1.192748709
CuO,EG,0.02,35,9.00E-08,1.192855319
CuO,40:60 EG/W,0.01,30,3.00E-08,1.192857792
CuO,40:60 EG/W,0.04,30,9.00E-08,1.192991688
CuO,H2O,0.035,40,1.00E-07,1.193088952
CuO,EG,0.035,35,1.50E-07,1.193280455
CuO,40:60 EG/W,0.01,35,5.00E-08,1.193306817
CuO,EG,0.03,35,1.25E-07,1.193587143
CuO,H2O,0.01,40,4.00E-08,1.193606703
CuO,40:60 EG/W,0.05,30,1.50E-07,1.193795587
CuO,H2O,0.05,35,1.25E-07,1.193912488
CuO,40:60 EG/W,0.035,35,1.25E-07,1.194048088
CuO,40:60 EG/W,0.04,35,1.50E-07,1.194091452
Al2O3,EG,0.01,30,1.25E-07,1.194386458
CuO,40:60 EG/W,0.025,35,9.00E-08,1.194520005
CuO,EG,0.025,30,6.00E-08,1.194553408
